Framework,Eval Script,Optimal Script,Avg Row Similarity,Avg Column Similarity
1,0,0,1.0,1.0
1,0,1,0.924,0.959
1,0,2,0.935,0.97
1,0,3,0.944,0.965
1,0,4,0.918,0.95
1,0,5,0.944,0.963
1,0,6,0.969,0.985
1,0,7,0.965,0.973
1,0,8,0.962,0.986
1,0,9,0.977,0.984
1,0,10,0.931,0.959
1,0,11,0.931,0.954
1,0,12,0.93,0.965
1,1,0,0.119,0.101
1,1,1,1.0,1.0
1,1,2,0.299,0.264
1,1,3,0.038,0.012
1,1,4,0.113,0.082
1,1,5,0.044,0.03
1,1,6,0.012,0.009
1,1,7,0.0,0.0
1,1,8,0.072,0.073
1,1,9,0.03,0.021
1,1,10,0.0,0.0
1,1,11,0.115,0.056
1,1,12,0.137,0.082
1,2,0,0.08,0.085
1,2,1,0.186,0.222
1,2,2,1.0,1.0
1,2,3,0.041,0.024
1,2,4,0.033,0.035
1,2,5,0.051,0.04
1,2,6,0.025,0.014
1,2,7,0.0,0.0
1,2,8,0.054,0.037
1,2,9,0.031,0.025
1,2,10,0.0,0.0
1,2,11,0.043,0.028
1,2,12,0.059,0.052
1,3,0,0.107,0.098
1,3,1,0.018,0.012
1,3,2,0.041,0.027
1,3,3,1.0,1.0
1,3,4,0.068,0.047
1,3,5,0.061,0.059
1,3,6,0.044,0.051
1,3,7,0.011,0.014
1,3,8,0.045,0.021
1,3,9,0.0,0.0
1,3,10,0.075,0.056
1,3,11,0.0,0.0
1,3,12,0.01,0.01
1,4,0,0.103,0.098
1,4,1,0.114,0.081
1,4,2,0.063,0.041
1,4,3,0.091,0.048
1,4,4,1.0,1.0
1,4,5,0.071,0.05
1,4,6,0.037,0.032
1,4,7,0.016,0.014
1,4,8,0.108,0.086
1,4,9,0.0,0.0
1,4,10,0.107,0.093
1,4,11,0.0,0.0
1,4,12,0.109,0.099
1,5,0,0.126,0.117
1,5,1,0.043,0.035
1,5,2,0.1,0.055
1,5,3,0.108,0.072
1,5,4,0.084,0.059
1,5,5,1.0,1.0
1,5,6,0.145,0.127
1,5,7,0.022,0.014
1,5,8,0.103,0.046
1,5,9,0.0,0.0
1,5,10,0.019,0.019
1,5,11,0.0,0.0
1,5,12,0.025,0.016
1,6,0,0.148,0.137
1,6,1,0.022,0.012
1,6,2,0.037,0.027
1,6,3,0.077,0.064
1,6,4,0.048,0.042
1,6,5,0.168,0.144
1,6,6,1.0,1.0
1,6,7,0.016,0.014
1,6,8,0.097,0.046
1,6,9,0.0,0.0
1,6,10,0.027,0.019
1,6,11,0.0,0.0
1,6,12,0.019,0.021
1,7,0,0.117,0.088
1,7,1,0.0,0.0
1,7,2,0.0,0.0
1,7,3,0.014,0.012
1,7,4,0.009,0.012
1,7,5,0.008,0.01
1,7,6,0.005,0.009
1,7,7,1.0,1.0
1,7,8,0.017,0.009
1,7,9,0.0,0.0
1,7,10,0.186,0.156
1,7,11,0.0,0.0
1,7,12,0.01,0.01
1,8,0,0.111,0.13
1,8,1,0.105,0.093
1,8,2,0.096,0.055
1,8,3,0.033,0.029
1,8,4,0.112,0.123
1,8,5,0.061,0.05
1,8,6,0.053,0.041
1,8,7,0.013,0.014
1,8,8,1.0,1.0
1,8,9,0.063,0.031
1,8,10,0.0,0.0
1,8,11,0.032,0.014
1,8,12,0.195,0.151
1,9,0,0.091,0.116
1,9,1,0.027,0.023
1,9,2,0.051,0.037
1,9,3,0.0,0.0
1,9,4,0.0,0.0
1,9,5,0.0,0.0
1,9,6,0.0,0.0
1,9,7,0.0,0.0
1,9,8,0.056,0.028
1,9,9,1.0,1.0
1,9,10,0.0,0.0
1,9,11,0.287,0.198
1,9,12,0.127,0.079
1,10,0,0.082,0.066
1,10,1,0.0,0.0
1,10,2,0.0,0.0
1,10,3,0.046,0.036
1,10,4,0.096,0.059
1,10,5,0.013,0.01
1,10,6,0.007,0.009
1,10,7,0.122,0.112
1,10,8,0.0,0.0
1,10,9,0.0,0.0
1,10,10,1.0,1.0
1,10,11,0.0,0.0
1,10,12,0.013,0.01
1,11,0,0.073,0.084
1,11,1,0.065,0.047
1,11,2,0.032,0.027
1,11,3,0.0,0.0
1,11,4,0.0,0.0
1,11,5,0.0,0.0
1,11,6,0.0,0.0
1,11,7,0.0,0.0
1,11,8,0.02,0.009
1,11,9,0.233,0.142
1,11,10,0.0,0.0
1,11,11,1.0,1.0
1,11,12,0.102,0.052
1,12,0,0.1,0.113
1,12,1,0.107,0.093
1,12,2,0.076,0.068
1,12,3,0.014,0.012
1,12,4,0.102,0.119
1,12,5,0.026,0.013
1,12,6,0.01,0.015
1,12,7,0.009,0.014
1,12,8,0.2,0.142
1,12,9,0.134,0.079
1,12,10,0.027,0.019
1,12,11,0.123,0.069
1,12,12,1.0,1.0
